index,date,duration,item,month,network,network_type
63,23/10/14 11:17,1,sms,2014-11,Vodafone,mobile
64,23/10/14 11:25,24,call,2014-11,Vodafone,mobile
65,23/10/14 17:48,263,call,2014-11,Meteor,mobile
66,24/10/14 06:58,34.429,data,2014-11,data,data
67,24/10/14 13:35,1,sms,2014-11,Vodafone,mobile
68,24/10/14 13:39,1,sms,2014-11,Vodafone,mobile
69,24/10/14 13:39,1,sms,2014-11,Vodafone,mobile
70,24/10/14 13:47,1,sms,2014-11,Vodafone,mobile
71,24/10/14 13:48,1,sms,2014-11,Vodafone,mobile
72,24/10/14 13:50,1,sms,2014-11,Vodafone,mobile
73,24/10/14 13:57,1,sms,2014-11,Vodafone,mobile
74,24/10/14 13:57,1,sms,2014-11,Vodafone,mobile
75,24/10/14 14:20,1,sms,2014-11,Three,mobile
76,24/10/14 14:27,1,sms,2014-11,Vodafone,mobile
77,24/10/14 18:29,1,sms,2014-11,Vodafone,mobile
78,24/10/14 18:33,387,call,2014-11,Tesco,mobile
79,24/10/14 18:40,1,sms,2014-11,Vodafone,mobile
80,25/10/14 06:58,34.429,data,2014-11,data,data
81,26/10/14 06:58,34.429,data,2014-11,data,data
82,26/10/14 14:51,4,call,2014-11,Three,mobile
83,26/10/14 21:10,637,call,2014-11,Tesco,mobile
84,26/10/14 21:22,28,call,2014-11,Meteor,mobile
85,26/10/14 21:38,62,call,2014-11,Three,mobile
86,27/10/14 01:45,3,call,2014-11,Tesco,mobile
87,27/10/14 06:58,34.429,data,2014-11,data,data
88,27/10/14 11:03,146,call,2014-11,Three,mobile
89,27/10/14 16:30,48,call,2014-11,Three,mobile
90,27/10/14 19:20,862,call,2014-11,Three,mobile
91,27/10/14 19:55,25,call,2014-11,Three,mobile
92,28/10/14 06:58,34.429,data,2014-11,data,data
93,28/10/14 16:39,833,call,2014-11,landline,landline
94,28/10/14 20:44,206,call,2014-11,Tesco,mobile
95,29/10/14 06:58,34.429,data,2014-11,data,data
96,29/10/14 12:56,442,call,2014-11,Vodafone,mobile
97,30/10/14 06:58,34.429,data,2014-11,data,data
98,30/10/14 14:31,463,call,2014-11,Vodafone,mobile
99,30/10/14 19:48,4,call,2014-11,Vodafone,mobile
100,30/10/14 20:02,4,call,2014-11,Meteor,mobile
101,31/10/14 06:58,34.429,data,2014-11,data,data
102,31/10/14 07:46,1,sms,2014-11,Vodafone,mobile
103,31/10/14 08:00,1,sms,2014-11,Vodafone,mobile
104,31/10/14 13:26,5,call,2014-11,Three,mobile
105,31/10/14 13:27,1234,call,2014-11,Tesco,mobile
106,31/10/14 14:10,43,call,2014-11,Three,mobile
107,31/10/14 18:29,1,sms,2014-11,Three,mobile
108,31/10/14 18:29,1,sms,2014-11,Three,mobile
109,31/10/14 18:30,483,call,2014-11,Meteor,mobile
110,31/10/14 18:39,3,call,2014-11,Tesco,mobile
111,01/11/14 06:58,34.429,data,2014-11,data,data
112,01/11/14 15:13,955,call,2014-11,Vodafone,mobile
113,01/11/14 17:54,4,call,2014-11,Tesco,mobile
114,02/11/14 06:58,34.429,data,2014-11,data,data
115,02/11/14 14:34,459,call,2014-11,Three,mobile
116,02/11/14 15:44,1023,call,2014-11,Three,mobile
117,02/11/14 19:16,1025,call,2014-11,Three,mobile
118,02/11/14 21:42,169,call,2014-11,Meteor,mobile
119,02/11/14 22:55,8,call,2014-11,Meteor,mobile
120,03/11/14 06:58,34.429,data,2014-11,data,data
121,03/11/14 08:40,1,sms,2014-11,special,special
122,03/11/14 10:30,135,call,2014-11,Three,mobile
123,03/11/14 10:37,7,call,2014-11,Vodafone,mobile
124,03/11/14 10:47,37,call,2014-11,Vodafone,mobile
125,03/11/14 14:04,1,sms,2014-11,Vodafone,mobile
126,03/11/14 15:27,5,call,2014-11,Three,mobile
127,03/11/14 16:07,123,call,2014-11,landline,landline
128,03/11/14 16:10,4,call,2014-11,Tesco,mobile
129,03/11/14 17:03,90,call,2014-11,Vodafone,mobile
130,03/11/14 22:36,3,call,2014-11,Tesco,mobile
131,04/11/14 06:58,34.429,data,2014-11,data,data
132,04/11/14 11:58,1,sms,2014-11,Vodafone,mobile
133,04/11/14 11:58,1,sms,2014-11,Vodafone,mobile
134,04/11/14 13:12,1,sms,2014-11,Three,mobile
135,04/11/14 14:05,1,sms,2014-11,Three,mobile
136,04/11/14 14:26,1,call,2014-11,voicemail,voicemail
137,04/11/14 14:26,98,call,2014-11,voicemail,voicemail
138,04/11/14 16:13,1,sms,2014-11,Three,mobile
139,04/11/14 16:19,8,call,2014-11,Meteor,mobile
140,04/11/14 16:22,9,call,2014-11,Meteor,mobile
141,04/11/14 16:24,4,call,2014-11,Meteor,mobile
142,04/11/14 16:34,1,sms,2014-11,Three,mobile
143,04/11/14 16:39,1,sms,2014-11,Meteor,mobile
144,04/11/14 16:41,1,sms,2014-11,Meteor,mobile
145,04/11/14 16:45,1,sms,2014-11,Three,mobile
146,04/11/14 18:26,4,call,2014-11,Tesco,mobile
147,04/11/14 20:15,11,call,2014-11,Three,mobile
148,04/11/14 20:15,1,sms,2014-11,Meteor,mobile
149,04/11/14 20:15,1,sms,2014-11,Meteor,mobile
150,04/11/14 20:16,166,call,2014-11,Meteor,mobile
151,05/11/14 06:58,34.429,data,2014-11,data,data
152,05/11/14 10:59,55,call,2014-11,Three,mobile
153,05/11/14 11:30,1,sms,2014-11,Vodafone,mobile
154,05/11/14 11:43,1,sms,2014-11,Vodafone,mobile
155,05/11/14 12:43,1,sms,2014-11,Vodafone,mobile
156,05/11/14 19:35,29,call,2014-11,Vodafone,mobile
157,06/11/14 01:02,1,sms,2014-11,Vodafone,mobile
158,06/11/14 01:02,1,sms,2014-11,Vodafone,mobile
159,06/11/14 06:58,34.429,data,2014-11,data,data
160,06/11/14 09:04,1,sms,2014-11,Vodafone,mobile
161,06/11/14 09:05,1,sms,2014-11,Vodafone,mobile
162,06/11/14 09:47,150,call,2014-11,Vodafone,mobile
163,06/11/14 09:50,89,call,2014-11,Three,mobile
164,06/11/14 09:52,75,call,2014-11,Meteor,mobile
165,06/11/14 09:54,5,call,2014-11,Three,mobile
166,06/11/14 11:47,8,call,2014-11,Vodafone,mobile
167,06/11/14 14:52,1,sms,2014-11,Vodafone,mobile
168,06/11/14 18:02,279,call,2014-11,Tesco,mobile
169,06/11/14 18:07,452,call,2014-11,Vodafone,mobile
170,07/11/14 06:58,34.429,data,2014-11,data,data
171,07/11/14 09:33,1205,call,2014-11,Vodafone,mobile
172,07/11/14 17:51,218,call,2014-11,Three,mobile
173,07/11/14 21:04,1,sms,2014-11,Vodafone,mobile
174,07/11/14 21:10,1,sms,2014-11,Vodafone,mobile
175,07/11/14 21:12,1,sms,2014-11,Vodafone,mobile
176,07/11/14 21:12,1,sms,2014-11,Vodafone,mobile
177,07/11/14 21:19,1,sms,2014-11,Vodafone,mobile
178,07/11/14 21:25,1,sms,2014-11,Vodafone,mobile
179,07/11/14 21:31,1,sms,2014-11,Vodafone,mobile
180,07/11/14 21:31,1,sms,2014-11,Vodafone,mobile
181,07/11/14 22:04,1,sms,2014-11,Vodafone,mobile
182,08/11/14 06:58,34.429,data,2014-11,data,data
183,08/11/14 16:33,41,call,2014-11,Three,mobile
184,08/11/14 18:18,6,call,2014-11,Tesco,mobile
185,09/11/14 01:41,1,sms,2014-11,Three,mobile
186,09/11/14 01:49,1,sms,2014-11,Three,mobile
187,09/11/14 01:50,1,sms,2014-11,Three,mobile
188,09/11/14 02:04,1,sms,2014-11,Three,mobile
189,09/11/14 06:58,34.429,data,2014-11,data,data
190,09/11/14 19:21,14,call,2014-11,Tesco,mobile
191,09/11/14 22:09,3,call,2014-11,Three,mobile
192,10/11/14 06:58,34.429,data,2014-11,data,data
193,10/11/14 09:29,178,call,2014-11,Vodafone,mobile
194,10/11/14 11:36,412,call,2014-11,Three,mobile
195,10/11/14 14:59,13,call,2014-11,Three,mobile
196,10/11/14 15:15,459,call,2014-11,Three,mobile
197,10/11/14 18:19,1,sms,2014-11,Three,mobile
198,10/11/14 18:34,1,sms,2014-11,Three,mobile
199,11/11/14 06:58,34.429,data,2014-11,data,data
200,11/11/14 09:28,3,call,2014-11,Vodafone,mobile
201,11/11/14 11:32,3,call,2014-11,Vodafone,mobile
202,11/11/14 11:37,1,sms,2014-11,Three,mobile
203,11/11/14 12:39,36,call,2014-11,Three,mobile
204,11/11/14 14:13,1,sms,2014-11,Meteor,mobile
205,11/11/14 14:20,1,sms,2014-11,Meteor,mobile
206,11/11/14 14:41,1,sms,2014-11,Meteor,mobile
207,11/11/14 19:56,1,sms,2014-11,Three,mobile
208,12/11/14 06:58,34.429,data,2014-11,data,data
209,12/11/14 10:48,1,sms,2014-11,Vodafone,mobile
210,12/11/14 10:48,1,sms,2014-11,Three,mobile
211,12/11/14 10:48,1,sms,2014-11,Vodafone,mobile
212,12/11/14 10:49,1,sms,2014-11,Three,mobile
213,12/11/14 12:04,1,sms,2014-11,Three,mobile
214,12/11/14 13:49,1,sms,2014-11,Vodafone,mobile
215,12/11/14 16:16,1,sms,2014-11,Vodafone,mobile
216,12/11/14 16:19,4,call,2014-11,landline,landline
217,12/11/14 16:42,1,sms,2014-11,Vodafone,mobile
218,12/11/14 16:42,1,sms,2014-11,Vodafone,mobile
219,12/11/14 17:14,1,sms,2014-11,Vodafone,mobile
220,12/11/14 17:14,1,sms,2014-11,Vodafone,mobile
221,12/11/14 17:49,1,sms,2014-11,Three,mobile
222,12/11/14 17:56,145,call,2014-11,Three,mobile
223,12/11/14 17:59,1001,call,2014-11,Three,mobile
224,12/11/14 19:01,7,call,2014-11,Vodafone,mobile
225,12/11/14 19:18,1,sms,2014-11,Three,mobile
226,12/11/14 19:18,1,sms,2014-11,Three,mobile
227,12/11/14 19:20,1,sms,2014-11,Vodafone,mobile
228,13/11/14 06:58,34.429,data,2014-12,data,data
229,13/11/14 22:30,1,sms,2014-11,Three,mobile
230,13/11/14 22:31,1,sms,2014-11,Vodafone,mobile
231,14/11/14 06:58,34.429,data,2014-12,data,data
232,14/11/14 17:24,124,call,2014-12,voicemail,voicemail
233,14/11/14 17:28,1,sms,2014-12,Vodafone,mobile
234,15/11/14 06:58,34.429,data,2014-12,data,data
235,16/11/14 06:58,34.429,data,2014-12,data,data
236,16/11/14 14:05,4,call,2014-12,Vodafone,mobile
237,17/11/14 06:58,34.429,data,2014-12,data,data
238,18/11/14 06:58,34.429,data,2014-12,data,data
239,18/11/14 08:22,1,sms,2014-12,Vodafone,mobile
240,18/11/14 08:29,1,sms,2014-12,Vodafone,mobile
241,18/11/14 08:29,1,sms,2014-12,Vodafone,mobile
242,18/11/14 08:33,1,sms,2014-12,Vodafone,mobile
243,18/11/14 08:34,1,sms,2014-12,Vodafone,mobile
244,18/11/14 08:34,1,sms,2014-12,Vodafone,mobile
245,18/11/14 08:39,1,sms,2014-12,Vodafone,mobile
246,18/11/14 08:42,1,sms,2014-12,Vodafone,mobile
247,18/11/14 08:45,1,sms,2014-12,Vodafone,mobile
248,18/11/14 09:35,1,sms,2014-12,Vodafone,mobile
249,19/11/14 06:58,34.429,data,2014-12,data,data
250,19/11/14 14:05,128,call,2014-12,Tesco,mobile
251,19/11/14 14:11,249,call,2014-12,Meteor,mobile
252,19/11/14 18:56,2120,call,2014-12,Three,mobile
253,19/11/14 22:48,1,sms,2014-12,Vodafone,mobile
254,20/11/14 06:58,34.429,data,2014-12,data,data
255,20/11/14 14:57,71,call,2014-12,voicemail,voicemail
256,20/11/14 14:59,56,call,2014-12,Three,mobile
257,20/11/14 16:22,1,sms,2014-12,Meteor,mobile
258,20/11/14 19:08,9,call,2014-12,Three,mobile
259,20/11/14 21:03,3,call,2014-12,Three,mobile
260,20/11/14 21:03,3,call,2014-12,Three,mobile
261,21/11/14 00:17,17,call,2014-12,Tesco,mobile
262,21/11/14 01:13,1,sms,2014-12,Vodafone,mobile
263,21/11/14 06:58,34.429,data,2014-12,data,data
264,21/11/14 10:29,1,sms,2014-12,Meteor,mobile
265,21/11/14 10:29,1,sms,2014-12,Meteor,mobile
266,21/11/14 10:30,1,sms,2014-12,Meteor,mobile
267,21/11/14 11:29,8,call,2014-12,landline,landline
268,21/11/14 11:31,982,call,2014-12,Vodafone,mobile
269,21/11/14 11:49,11,call,2014-12,landline,landline
270,21/11/14 11:50,34,call,2014-12,Three,mobile
271,21/11/14 11:50,8,call,2014-12,Three,mobile
272,21/11/14 13:31,600,call,2014-12,Tesco,mobile
273,21/11/14 18:07,244,call,2014-12,Meteor,mobile
274,22/11/14 02:10,186,call,2014-12,Tesco,mobile
275,22/11/14 06:58,34.429,data,2014-12,data,data
276,22/11/14 12:02,75,call,2014-12,Meteor,mobile
277,22/11/14 12:10,90,call,2014-12,Vodafone,mobile
278,22/11/14 14:30,13,call,2014-12,Vodafone,mobile
279,22/11/14 14:33,20,call,2014-12,Vodafone,mobile
280,22/11/14 14:34,2,call,2014-12,Vodafone,mobile
281,23/11/14 06:58,34.429,data,2014-12,data,data
282,23/11/14 13:24,208,call,2014-12,Three,mobile
283,23/11/14 16:10,107,call,2014-12,Three,mobile
284,23/11/14 17:36,55,call,2014-12,Three,mobile
285,23/11/14 17:53,5,call,2014-12,Three,mobile
286,23/11/14 17:53,20,call,2014-12,Three,mobile
287,23/11/14 17:54,2,call,2014-12,Three,mobile
288,24/11/14 06:58,34.429,data,2014-12,data,data
289,24/11/14 09:40,1,sms,2014-12,Three,mobile
290,24/11/14 12:24,4,call,2014-12,Meteor,mobile
291,25/11/14 06:58,34.429,data,2014-12,data,data
292,25/11/14 11:25,21,call,2014-12,Vodafone,mobile
293,25/11/14 16:09,1,sms,2014-12,Meteor,mobile
294,25/11/14 16:19,1,sms,2014-12,Meteor,mobile
295,25/11/14 17:10,114,call,2014-12,Meteor,mobile
296,25/11/14 18:06,1,sms,2014-12,Meteor,mobile
297,25/11/14 18:18,81,call,2014-12,Meteor,mobile
298,25/11/14 18:47,174,call,2014-12,voicemail,voicemail
299,25/11/14 19:10,71,call,2014-12,Tesco,mobile
300,25/11/14 19:20,40,call,2014-12,Tesco,mobile
301,25/11/14 19:21,29,call,2014-12,voicemail,voicemail
302,25/11/14 19:25,37,call,2014-12,Tesco,mobile
303,25/11/14 19:26,63,call,2014-12,voicemail,voicemail
304,25/11/14 20:39,1,sms,2014-12,Three,mobile
305,26/11/14 06:58,34.429,data,2014-12,data,data
306,26/11/14 07:03,14,call,2014-12,Meteor,mobile
307,26/11/14 07:15,1,sms,2014-12,Vodafone,mobile
308,26/11/14 07:57,1,sms,2014-12,Vodafone,mobile
309,26/11/14 07:59,4,call,2014-12,Three,mobile
310,26/11/14 08:00,1,sms,2014-12,Vodafone,mobile
311,26/11/14 08:13,10,call,2014-12,Three,mobile
312,26/11/14 08:16,3,call,2014-12,Three,mobile
313,26/11/14 08:26,3,call,2014-12,Three,mobile
314,26/11/14 08:27,3,call,2014-12,Three,mobile
315,26/11/14 09:01,1,sms,2014-12,Meteor,mobile
316,26/11/14 11:53,1,sms,2014-12,Meteor,mobile
317,26/11/14 11:54,1,sms,2014-12,Meteor,mobile
318,26/11/14 11:54,1,sms,2014-12,Meteor,mobile
319,26/11/14 11:56,1,sms,2014-12,Meteor,mobile
320,26/11/14 17:48,3,call,2014-12,Three,mobile
321,27/11/14 06:58,34.429,data,2014-12,data,data
322,27/11/14 16:53,1116,call,2014-12,Three,mobile
323,27/11/14 18:38,1,sms,2014-12,Three,mobile
324,28/11/14 06:58,34.429,data,2014-12,data,data
325,28/11/14 13:05,1,sms,2014-12,Three,mobile
326,28/11/14 13:12,1,sms,2014-12,Three,mobile
327,28/11/14 19:03,143,call,2014-12,Tesco,mobile
328,29/11/14 06:58,34.429,data,2014-12,data,data
329,29/11/14 14:44,151,call,2014-12,Three,mobile
330,30/11/14 06:58,34.429,data,2014-12,data,data
331,30/11/14 11:45,1,sms,2014-12,Three,mobile
332,30/11/14 11:48,1,sms,2014-12,Three,mobile
333,30/11/14 11:48,1,sms,2014-12,Three,mobile
334,30/11/14 12:06,1,sms,2014-12,Three,mobile
335,30/11/14 14:24,1,sms,2014-12,Three,mobile
336,30/11/14 14:44,1,sms,2014-12,Three,mobile
337,30/11/14 14:51,4,call,2014-12,Three,mobile
338,01/12/14 06:58,34.429,data,2014-12,data,data
339,01/12/14 12:51,1,sms,2014-12,Three,mobile
340,01/12/14 12:59,1,sms,2014-12,Three,mobile
341,02/12/14 06:58,34.429,data,2014-12,data,data
342,02/12/14 11:40,526,call,2014-12,Meteor,mobile
343,03/12/14 06:58,34.429,data,2014-12,data,data
344,03/12/14 15:01,844,call,2014-12,landline,landline
345,03/12/14 18:10,383,call,2014-12,Tesco,mobile
346,04/12/14 06:58,34.429,data,2014-12,data,data
347,04/12/14 13:52,6,call,2014-12,Vodafone,mobile
348,04/12/14 15:34,37,call,2014-12,Three,mobile
349,04/12/14 16:02,15,call,2014-12,Meteor,mobile
350,04/12/14 23:41,71,call,2014-12,voicemail,voicemail
351,05/12/14 06:58,34.429,data,2014-12,data,data
352,05/12/14 16:49,465,call,2014-12,landline,landline
353,05/12/14 18:17,153,call,2014-12,Tesco,mobile
354,05/12/14 18:25,826,call,2014-12,Three,mobile
355,06/12/14 06:58,34.429,data,2014-12,data,data
356,06/12/14 11:33,442,call,2014-12,Meteor,mobile
357,06/12/14 18:25,1,sms,2014-12,Vodafone,mobile
358,06/12/14 18:26,1,sms,2014-12,Tesco,mobile
359,06/12/14 18:26,1,sms,2014-12,Vodafone,mobile
360,06/12/14 18:27,1,sms,2014-12,world,world
361,06/12/14 18:28,1,sms,2014-12,world,world
362,06/12/14 19:40,191,call,2014-12,Meteor,mobile
363,07/12/14 06:58,34.429,data,2014-12,data,data
364,07/12/14 13:03,99,call,2014-12,voicemail,voicemail
365,07/12/14 13:45,428,call,2014-12,Three,mobile
366,07/12/14 14:39,3,call,2014-12,Three,mobile
367,07/12/14 20:23,727,call,2014-12,Three,mobile
368,07/12/14 20:36,33,call,2014-12,Tesco,mobile
369,07/12/14 20:37,120,call,2014-12,Three,mobile
370,07/12/14 23:22,1,sms,2014-12,world,world
371,07/12/14 23:22,1,sms,2014-12,world,world
372,08/12/14 06:58,34.429,data,2014-12,data,data
373,08/12/14 17:38,55,call,2014-12,Meteor,mobile
374,09/12/14 06:58,34.429,data,2014-12,data,data
375,09/12/14 18:32,28,call,2014-12,Tesco,mobile
376,10/12/14 06:58,34.429,data,2014-12,data,data
377,11/12/14 06:58,34.429,data,2014-12,data,data
378,12/12/14 06:58,34.429,data,2014-12,data,data
379,12/12/14 11:00,112,call,2014-12,Vodafone,mobile
380,12/12/14 18:14,52,call,2014-12,Vodafone,mobile
381,13/12/14 06:58,34.429,data,2015-01,data,data
382,13/12/14 14:56,223,call,2014-12,Three,mobile
383,14/12/14 02:05,14,call,2014-12,landline,landline
384,14/12/14 02:07,8,call,2014-12,landline,landline
385,14/12/14 02:09,74,call,2014-12,landline,landline
386,14/12/14 06:58,34.429,data,2015-01,data,data
387,14/12/14 15:28,59,call,2014-12,voicemail,voicemail
388,14/12/14 19:54,25,call,2014-12,Three,mobile
389,15/12/14 06:58,34.429,data,2015-01,data,data
390,15/12/14 19:56,1,sms,2015-01,Three,mobile
391,15/12/14 19:58,1,sms,2015-01,Three,mobile
392,15/12/14 20:03,4,call,2015-01,Three,mobile
393,15/12/14 20:10,1,sms,2015-01,Vodafone,mobile
394,15/12/14 20:10,1,sms,2015-01,Three,mobile
395,15/12/14 23:12,1,sms,2015-01,Three,mobile
396,16/12/14 06:58,34.429,data,2015-01,data,data
397,17/12/14 06:58,34.429,data,2015-01,data,data
398,17/12/14 18:08,1859,call,2015-01,Vodafone,mobile
399,17/12/14 23:26,1,sms,2015-01,Vodafone,mobile
400,18/12/14 06:58,34.429,data,2015-01,data,data
401,18/12/14 12:36,61,call,2015-01,Three,mobile
402,18/12/14 15:46,268,call,2015-01,Meteor,mobile
403,18/12/14 15:57,192,call,2015-01,Meteor,mobile
404,18/12/14 16:10,14,call,2015-01,Meteor,mobile
405,18/12/14 17:54,17,call,2015-01,Three,mobile
406,18/12/14 19:05,46,call,2015-01,Tesco,mobile
407,18/12/14 21:58,4,call,2015-01,Meteor,mobile
408,18/12/14 21:59,4,call,2015-01,Meteor,mobile
409,19/12/14 06:58,34.429,data,2015-01,data,data
410,19/12/14 08:57,1,sms,2015-01,Vodafone,mobile
411,19/12/14 10:14,41,call,2015-01,Three,mobile
412,19/12/14 12:40,3,call,2015-01,Three,mobile
413,19/12/14 12:41,217,call,2015-01,Tesco,mobile
414,19/12/14 12:41,18,call,2015-01,Three,mobile
415,19/12/14 14:48,58,call,2015-01,Meteor,mobile
416,19/12/14 16:49,48,call,2015-01,Tesco,mobile
417,19/12/14 16:51,543,call,2015-01,Tesco,mobile
418,19/12/14 17:00,131,call,2015-01,Three,mobile
419,19/12/14 18:44,1,sms,2015-01,Vodafone,mobile
420,20/12/14 06:58,34.429,data,2015-01,data,data
421,20/12/14 14:39,1,sms,2015-01,Tesco,mobile
422,20/12/14 15:20,1,sms,2015-01,Tesco,mobile
423,20/12/14 15:53,553,call,2015-01,Meteor,mobile
424,20/12/14 16:09,1,sms,2015-01,Tesco,mobile
425,21/12/14 00:05,54,call,2015-01,Meteor,mobile
426,21/12/14 06:58,34.429,data,2015-01,data,data
427,22/12/14 06:58,34.429,data,2015-01,data,data
428,22/12/14 10:42,489,call,2015-01,Tesco,mobile
429,22/12/14 11:22,1,sms,2015-01,Vodafone,mobile
430,22/12/14 11:22,1,sms,2015-01,Meteor,mobile
431,22/12/14 13:33,46,call,2015-01,Vodafone,mobile
432,22/12/14 14:09,1,sms,2015-01,Vodafone,mobile
433,22/12/14 14:15,47,call,2015-01,Vodafone,mobile
434,22/12/14 18:03,1,sms,2015-01,Vodafone,mobile
435,22/12/14 18:03,1,sms,2015-01,Vodafone,mobile
436,22/12/14 18:03,1,sms,2015-01,Vodafone,mobile
437,22/12/14 19:10,1,sms,2015-01,Vodafone,mobile
438,22/12/14 19:12,566,call,2015-01,Tesco,mobile
439,22/12/14 19:35,1,sms,2015-01,Meteor,mobile
440,22/12/14 19:36,1,sms,2015-01,Meteor,mobile
441,22/12/14 23:12,956,call,2015-01,Three,mobile
442,23/12/14 00:57,55,call,2015-01,Tesco,mobile
443,23/12/14 06:58,34.429,data,2015-01,data,data
444,23/12/14 09:17,145,call,2015-01,voicemail,voicemail
445,23/12/14 11:03,40,call,2015-01,landline,landline
446,23/12/14 12:49,449,call,2015-01,Three,mobile
447,23/12/14 15:39,1,sms,2015-01,Vodafone,mobile
448,23/12/14 15:40,37,call,2015-01,landline,landline
449,23/12/14 15:43,1,sms,2015-01,Vodafone,mobile
450,23/12/14 19:45,39,call,2015-01,voicemail,voicemail
451,23/12/14 20:02,28,call,2015-01,landline,landline
452,23/12/14 21:06,1,sms,2015-01,Vodafone,mobile
453,24/12/14 06:58,34.429,data,2015-01,data,data
454,24/12/14 13:22,4,call,2015-01,Three,mobile
455,24/12/14 13:29,234,call,2015-01,Tesco,mobile
456,24/12/14 13:56,165,call,2015-01,Three,mobile
457,24/12/14 13:56,3,call,2015-01,Three,mobile
458,24/12/14 17:06,1,sms,2015-01,Vodafone,mobile
459,24/12/14 17:07,37,call,2015-01,Vodafone,mobile
460,24/12/14 18:44,5,call,2015-01,Meteor,mobile
461,24/12/14 20:44,4,call,2015-01,Meteor,mobile
462,24/12/14 23:34,1,sms,2015-01,Three,mobile
463,25/12/14 06:58,34.429,data,2015-01,data,data
464,25/12/14 12:27,1,sms,2015-01,Vodafone,mobile
465,26/12/14 06:58,34.429,data,2015-01,data,data
466,26/12/14 11:09,101,call,2015-01,voicemail,voicemail
467,26/12/14 11:48,1,sms,2015-01,Vodafone,mobile
468,27/12/14 06:58,34.429,data,2015-01,data,data
469,27/12/14 22:30,1,sms,2015-01,Meteor,mobile
470,27/12/14 22:30,1,sms,2015-01,Meteor,mobile
471,27/12/14 22:30,1,sms,2015-01,Meteor,mobile
472,27/12/14 22:30,1,sms,2015-01,Meteor,mobile
473,28/12/14 06:58,34.429,data,2015-01,data,data
